date,country,cases
2020-02-28T00:00:00,US,60
2020-02-29T00:00:00,US,68
2020-03-01T00:00:00,US,74
2020-03-02T00:00:00,US,98
2020-03-03T00:00:00,US,118
2020-03-04T00:00:00,US,149
2020-03-05T00:00:00,US,217
2020-03-06T00:00:00,US,262
2020-03-07T00:00:00,US,402
2020-03-08T00:00:00,US,518
2020-03-09T00:00:00,US,583
2020-03-10T00:00:00,US,959
2020-03-11T00:00:00,US,1281
2020-03-12T00:00:00,US,1663
2020-03-13T00:00:00,US,2179
2020-03-14T00:00:00,US,2727
2020-03-15T00:00:00,US,3499
2020-03-16T00:00:00,US,4632
2020-03-17T00:00:00,US,6421
2020-03-18T00:00:00,US,7783
2020-03-19T00:00:00,US,13677
2020-03-20T00:00:00,US,19100
2020-03-21T00:00:00,US,25489
2020-03-22T00:00:00,US,33276
2020-03-23T00:00:00,US,43847
2020-03-24T00:00:00,US,53740
2020-03-25T00:00:00,US,65778
2020-03-26T00:00:00,US,83836
2020-03-27T00:00:00,US,101657
2020-03-28T00:00:00,US,121478
2020-03-29T00:00:00,US,140886
2020-03-30T00:00:00,US,161807
2020-03-31T00:00:00,US,188172
2020-04-01T00:00:00,US,213372
